token,type,web_css_var,cars24,teambhp,ci,vi
brand/50,COLOR,var(--cars24-theme-brand-50),#F6F6FF,#F8FAFC,#E6FFFB,#F2F5FF
brand/alt/50,COLOR,var(--cars24-theme-brand-alt-50),#F6F6FF,#FCF3F3,#F8FAFC,#F2F5FF
brand/100,COLOR,var(--cars24-theme-brand-100),#E1E3FD,#F1F5F9,#B4F7EE,#CFDAFF
brand/alt/100,COLOR,var(--cars24-theme-brand-alt-100),#E1E3FD,#FBE0E1,#F1F5F9,#CFDAFF
brand/200,COLOR,var(--cars24-theme-brand-200),#C8CCFB,#E2E8F0,#87E8DE,#ADBFFF
brand/alt/200,COLOR,var(--cars24-theme-brand-alt-200),#C8CCFB,#FAC2C5,#E2E8F0,#ADBFFF
brand/300,COLOR,var(--cars24-theme-brand-300),#A7ADF8,#CBD5E1,#5CDBD3,#8AA3FF
brand/alt/300,COLOR,var(--cars24-theme-brand-alt-300),#A7ADF8,#FA9EA3,#CBD5E1,#8AA3FF
brand/400,COLOR,var(--cars24-theme-brand-400),#8187F5,#94A3B8,#13C2C2,#6888FF
brand/alt/400,COLOR,var(--cars24-theme-brand-alt-400),#8187F5,#FA757B,#94A3B8,#6888FF
brand/500,COLOR,var(--cars24-theme-brand-500-b),#4736FE,#64748B,#08979C,#456DFF
brand/alt/500,COLOR,var(--cars24-theme-brand-alt-500-b),#4736FE,#FB2C36,#002329,#456DFF
brand/600,COLOR,var(--cars24-theme-brand-600),#351ED8,#475569,#006D75,#3D60E0
brand/alt/600,COLOR,var(--cars24-theme-brand-alt-600),#351ED8,#C91D27,#0A0A0A,#3D60E0
brand/700,COLOR,var(--cars24-theme-brand-700),#2A15AA,#334155,#004E57,#3553C2
brand/alt/700,COLOR,var(--cars24-theme-brand-alt-700),#2A15AA,#8F2424,#334155,#3553C2
brand/800,COLOR,var(--cars24-theme-brand-800),#211185,#1F2937,#003C43,#2C46A3
brand/alt/800,COLOR,var(--cars24-theme-brand-alt-800),#211185,#5A221F,#1F2937,#2C46A3
brand/900,COLOR,var(--cars24-theme-brand-900),#190E63,#111827,#002F37,#243985
brand/alt/900,COLOR,var(--cars24-theme-brand-alt-900),#190E63,#341816,#111827,#243985
brand/950,COLOR,var(--cars24-theme-brand-950),#0E073B,#020617,#002329,#1C2C66
brand/alt/950,COLOR,var(--cars24-theme-brand-alt-950),#0E073B,#231311,#020617,#1C2C66
font/family/primary,STRING,var(--cars24-theme-font-family-primary),Geist,Geist,Manrope,Metropolis
font/weight/regular,FLOAT,var(--cars24-theme-font-weight-regular),400,400,500,400
font/weight/medium,FLOAT,var(--cars24-theme-font-weight-medium),500,500,600,500
font/weight/semibold,FLOAT,var(--cars24-theme-font-weight-semibold),600,600,700,600
font/weight/bold,FLOAT,var(--cars24-theme-font-weight-bold),700,700,800,700
radius/alt/xxs,FLOAT,var(--cars24-theme-radius-alt-xxs),4,4,4,999
radius/alt/xs,FLOAT,var(--cars24-theme-radius-alt-xs),6,6,4,999
radius/alt/sm,FLOAT,var(--cars24-theme-radius-alt-sm),8,8,4,999
radius/alt/md,FLOAT,var(--cars24-theme-radius-alt-md),12,12,8,999
radius/alt/lg,FLOAT,var(--cars24-theme-radius-alt-lg),14,14,12,999
radius/alt/xl,FLOAT,var(--cars24-theme-radius-alt-xl),16,16,12,999
radius/alt/xxl,FLOAT,var(--cars24-theme-radius-alt-xxl),20,20,12,999
radius/none,FLOAT,var(--cars24-theme-radius-none),0,0,0,0
radius/xxs,FLOAT,var(--cars24-theme-radius-xxs),4,4,4,4
radius/xs,FLOAT,var(--cars24-theme-radius-xs),6,6,4,6
radius/sm,FLOAT,var(--cars24-theme-radius-sm),8,8,4,8
radius/md,FLOAT,var(--cars24-theme-radius-md),12,12,8,12
radius/lg,FLOAT,var(--cars24-theme-radius-lg),14,14,12,14
radius/xl,FLOAT,var(--cars24-theme-radius-xl),16,16,12,16
radius/xxl,FLOAT,var(--cars24-theme-radius-xxl),20,20,12,20
radius/full,FLOAT,var(--cars24-theme-radius-full),999,999,999,999
component-behaviour/justify-item/align-left,BOOLEAN,var(--cars24-theme-component-behaviour-justify-item-align-left),true,true,false,false
component-behaviour/justify-item/align-centre,BOOLEAN,var(--cars24-theme-component-behaviour-justify-item-align-centre),false,false,true,true
